who?	को?
hide.	लुकाउनुहोस्।
hide.	लुक।
stay.	बस्नुहोस्।
hello!	नमस्ते!
smile.	मुस्कान।
attack!	आक्रमण!
go slow.	बिस्तारै जाउ।
i'm tom.	म टम हुँ।
find tom.	टमलाई खोज।
i am tom.	म टम हुँ।
i danced.	मैले नाचे।
who am i?	म को हु?
can i eat?	के म खान सक्छु ?
he is old.	उहाँ वृद्ध हुनुहुन्छ।
i am okay.	म ठिक छु।
i am sick.	म बिरामी छु।
i am sure.	म पक्का छु।
i am tall.	म अग्लो छु।
i am well.	म कुशल छु।
i'm crazy.	म पागल छु।
i'm crazy.	म पागल हुँ।
i'm sorry.	मलाई माफ गर्नुहोस्।
is it bad?	यो खराब छ?
is it bad?	यो नराम्रो हो?
may i eat?	के म खान सक्छु ?
who is he?	ऊ को हो?
good night.	शुभ रात्री।
he is lazy.	ऊ अल्छी छ ।
he is nice.	उहाँ राम्रो हुनुहुन्छ।
he is nice.	उ राम्रो छ।
he is poor.	ऊ गरिब छ।
he is sick.	उहाँ बिरामी हुनुहुन्छ।
he is sick.	ऊ बिरामी छ।
how lovely!	कति प्यारो!
i am a boy.	म केटा हुँ।
i am a man.	म एक मानिस हुँ।
i am happy.	म खुशी छु।
i am human.	म मानव हुँ।
i am human.	म मान्छे हुँ।
i am short.	म होचो छु।
i am smart.	म स्मार्ट छु।
i eat fish.	म माछा खान्छु।
i eat here.	म यहाँ खान्छु।
i eat meat.	म मासु खान्छु।
i eat pork.	म सुँगुरको मासु खान्छु।
i eat pork.	म पोर्क खान्छु।
i eat rice.	म भात खान्छु।
i feel old.	मलाई बुढो हुदै गए जस्तो लाग्छ।
i like you.	म तिमीलाई मन पराउँछु।
i love you.	म तिमीलाई माया गर्छु।
i miss you.	म तिमीलाई सम्झन्छु।
i was hurt.	म घाइते भए।
i'm chubby.	म मोटो छु।
i'm chubby.	म मोटी छु।
love hurts.	मायाले दुख दिन्छ।
turn it up.	अलिक ठूलो बनाउनुहोस्।
we are men.	हामी पुरुष हौं।
who is tom?	टम को हो?
beer's good.	बियर राम्रो हो।
beer's good.	बियर राम्रो छ।
don't worry.	चिन्ता नगर।
don't worry.	चिन्ता नगर!
have a beer.	बियर खानुहोस्।
he is alone.	ऊ एक्लै छ ।
he is alone.	उहाँ एक्लै हुनुहुन्छ।
he is eight.	ऊ आठ वर्षको छ।
he is happy.	ऊ खुसी छ।
he is happy.	उहाँ खुसी हुनुहुन्छ।
here we are!	हामी यहाँ छौ!
here we are.	हामी यहाँ छौ।
i also went.	म पनि गएँ।
i am a cook.	म कुक हुँ।
i am coming.	म आउदै छु।
i am taller.	म अग्लो छु।
i assume so.	म त्यसै मान्छु।
i came back.	म फर्केर आएँ ।
i eat alone.	म एक्लै खान्छु।
i eat beans.	म गेडागुडी खान्छु।
i eat bread.	म रोटी खान्छु।
i eat bread.	म पाउरोटी खान्छु।
i eat fruit.	म फलफूल खान्छु।
i like peas.	मलाई मटर मन पर्छ।
i live here.	म यहाँ बस्छु।
i read lips.	म ओठ पढ्छु ।
i trust him.	म उसलाई विश्वास गर्छु।
i went home.	म घर गए।
i went, too.	म पनि गएँ।
i will stay.	म बस्नेछु।
i'll decide.	म निर्णय गर्छु।
i'll decide.	म निर्णय गर्नेछु।
i'm starved.	मलाई धेरै भोक लागेको छ।
let's hurry.	हतार गरौं।
ok, you win.	ठिक छ, तिमीले जित्यौ।
say my name.	मेरो नाम भन।
she is dead.	तिनी मरिसकेकी छिन्।
she is kind.	उनी दयालु छिन्।
tom is here.	टम यहाँ छ।
we are sick.	हामी बिरामी छौं।
what's this?	यो के हो?
am i in debt?	के म ऋणमा छु?
did tom fall?	के टम खसेको थियो?
drive faster.	छिटो चलाउनुहोस्।
ghosts exist.	भूतहरू छन्।
he is asleep.	ऊ सुतिरहेको छ।
he is cranky.	ऊ चकचके छ।
he is eating.	उ खादै छ।
he seems ill.	ऊ बिरामी देखिन्छ।
i am chinese.	म चिनियाँ हुँ।
i am chinese.	म चाइनिज हुँ।
i am curious.	म उत्सुक छु।
i am curious.	म जिज्ञासु छु
i am working.	म काम गर्दैछु।
i am working.	म काम गरिरहेको छु।
i don't know.	मलाई थाहा छैन।
i don't know.	थाहा छैन।
i drink beer.	म बियर पिउँछु।
i drink milk.	म दूध पिउँछु।
i drink wine.	म वाइन पिउँछु।
i eat cheese.	म चीज खान्छु।
i eat slowly.	म बिस्तारै खान्छु।
i have a map.	म सँग नक्सा छ।
i like steak.	मलाई स्टेक मन पर्छ।
i live alone.	म एक्लै बस्छु।
i need a pet.	मलाई एउटा पाल्तु जनावर चाहिन्छ।
i read books.	म किताबहरू पढ्छु ।
i want a dog.	मलाई एउटा कुकुर चाहियो।
i went there.	म त्यहाँ गएँ।
i went twice.	म दुई पटक गएँ ।
i will fight.	म लड्नेछु।
i will learn.	म सिक्नेछु।
make a guess.	अनुमान गर्नुहोस्।
my eyes hurt.	मेरो आँखा दुखिरहेको छ!
she is eight.	उनी आठ वर्षकी हुन् ।
she is happy.	उनी खुसी छिन् ।
she is lucky.	उनी भाग्यमानी छिन्।
she is quiet.	उनी शान्त छिन्।
she is sharp.	तिनी तीक्ष्ण छिन्।
she is wrong.	उनी गलत छिन्।
tom got rich.	टम धनी भयो।
tom hates me.	टमले मलाई घृणा गर्छ।
we are happy.	हामी खुसी छौं।
we don't lie.	हामी झूट बोल्दैनौं।
we have room.	हामीसँग कोठा छ।
what is this?	यो के हो?
did tom paint?	टमले पेन्ट गर्यो?
he drank beer.	उनले बियर पिए ।
he drank beer.	उसले बियर पियो ।
he is foolish.	ऊ मूर्ख छ।
he seems kind.	उनी दयालु देखिन्छन्।
he seems kind.	उहाँ दयालु देखिनुहुन्छ।
i am japanese.	म जापानीज हुँ।
i am a runner.	म एक धावक हुँ।
i am divorced.	म सम्बन्धविच्छेद भएको हु।
i am studying.	म पढिरहेको छु।
i am studying.	म पढ्दै छु।
i can't watch.	म हेर्न सक्दिन।
i drink a lot.	म धेरै पिउँछु।
i eat bananas.	म केरा खान्छु।
i eat chicken.	म कुखुराको मासु खान्छु ।
i live nearby.	म नजिकै बस्छु।
i must go out.	म बाहिर जानु पर्छ।
i read novels.	मैले उपन्यासहरू पढे।
i should quit.	मैले छाड्नु पर्छ।
i was excited.	म उत्साहित थिएँ।
i went aboard.	म विदेश गएँ ।
i went abroad.	म विदेश गएँ ।
i went hiking.	म पदयात्रामा गएँ।
i went inside.	म भित्र गएँ ।
i went skiing.	म स्कीइङ गर्न गएँ।
i'm ambitious.	म महत्वाकांक्षी छु।
i'm an addict.	म एक लतमा लागेको व्यक्ति हुँ।
i'm not brave.	म साहसी छैन।
i'm not crazy.	म पागल होइन।
i'm not crazy.	म पागल छैन।
is tom asleep?	के टम सुतिरहेको छ?
is tom famous?	के टम प्रसिद्ध छ?
it'll be easy.	यो सजिलो हुनेछ।
it's not mine.	यो मेरो होइन।
life is short.	जिवन छोटो छ।
my name's tom.	मेरो नाम टम हो।
please fix it.	कृपया यसलाई ठीक गर्नुहोस्।
she is french.	उनी फ्रान्सेली हुन्।
