Who?	('<SOS>', 'को?', '<EOS>')
Hide.	('<SOS>', 'लुकाउनुहोस्।', '<EOS>')
Hide.	('<SOS>', 'लुक।', '<EOS>')
Stay.	('<SOS>', 'बस्नुहोस्।', '<EOS>')
Hello!	('<SOS>', 'नमस्ते!', '<EOS>')
Smile.	('<SOS>', 'मुस्कान।', '<EOS>')
Attack!	('<SOS>', 'आक्रमण!', '<EOS>')
Go slow.	('<SOS>', 'बिस्तारै जाउ।', '<EOS>')
I'm Tom.	('<SOS>', 'म टम हुँ।', '<EOS>')
Find Tom.	('<SOS>', 'टमलाई खोज।', '<EOS>')
I am Tom.	('<SOS>', 'म टम हुँ।', '<EOS>')
I danced.	('<SOS>', 'मैले नाचे।', '<EOS>')
Who am I?	('<SOS>', 'म को हु?', '<EOS>')
Can I eat?	('<SOS>', 'के म खान सक्छु ?', '<EOS>')
He is old.	('<SOS>', 'उहाँ वृद्ध हुनुहुन्छ।', '<EOS>')
I am okay.	('<SOS>', 'म ठिक छु।', '<EOS>')
I am sick.	('<SOS>', 'म बिरामी छु।', '<EOS>')
I am sure.	('<SOS>', 'म पक्का छु।', '<EOS>')
I am tall.	('<SOS>', 'म अग्लो छु।', '<EOS>')
I am well.	('<SOS>', 'म कुशल छु।', '<EOS>')
I'm crazy.	('<SOS>', 'म पागल छु।', '<EOS>')
I'm crazy.	('<SOS>', 'म पागल हुँ।', '<EOS>')
I'm sorry.	('<SOS>', 'मलाई माफ गर्नुहोस्।', '<EOS>')
Is it bad?	('<SOS>', 'यो खराब छ?', '<EOS>')
Is it bad?	('<SOS>', 'यो नराम्रो हो?', '<EOS>')
May I eat?	('<SOS>', 'के म खान सक्छु ?', '<EOS>')
Who is he?	('<SOS>', 'ऊ को हो?', '<EOS>')
Good night.	('<SOS>', 'शुभ रात्री।', '<EOS>')
He is lazy.	('<SOS>', 'ऊ अल्छी छ ।', '<EOS>')
He is nice.	('<SOS>', 'उहाँ राम्रो हुनुहुन्छ।', '<EOS>')
He is nice.	('<SOS>', 'उ राम्रो छ।', '<EOS>')
He is poor.	('<SOS>', 'ऊ गरिब छ।', '<EOS>')
He is sick.	('<SOS>', 'उहाँ बिरामी हुनुहुन्छ।', '<EOS>')
He is sick.	('<SOS>', 'ऊ बिरामी छ।', '<EOS>')
How lovely!	('<SOS>', 'कति प्यारो!', '<EOS>')
I am a boy.	('<SOS>', 'म केटा हुँ।', '<EOS>')
I am a man.	('<SOS>', 'म एक मानिस हुँ।', '<EOS>')
I am happy.	('<SOS>', 'म खुशी छु।', '<EOS>')
I am human.	('<SOS>', 'म मानव हुँ।', '<EOS>')
I am human.	('<SOS>', 'म मान्छे हुँ।', '<EOS>')
I am short.	('<SOS>', 'म होचो छु।', '<EOS>')
I am smart.	('<SOS>', 'म स्मार्ट छु।', '<EOS>')
I eat fish.	('<SOS>', 'म माछा खान्छु।', '<EOS>')
I eat here.	('<SOS>', 'म यहाँ खान्छु।', '<EOS>')
I eat meat.	('<SOS>', 'म मासु खान्छु।', '<EOS>')
I eat pork.	('<SOS>', 'म सुँगुरको मासु खान्छु।', '<EOS>')
I eat pork.	('<SOS>', 'म पोर्क खान्छु।', '<EOS>')
I eat rice.	('<SOS>', 'म भात खान्छु।', '<EOS>')
I feel old.	('<SOS>', 'मलाई बुढो हुदै गए जस्तो लाग्छ।', '<EOS>')
I like you.	('<SOS>', 'म तिमीलाई मन पराउँछु।', '<EOS>')
I love you.	('<SOS>', 'म तिमीलाई माया गर्छु।', '<EOS>')
I miss you.	('<SOS>', 'म तिमीलाई सम्झन्छु।', '<EOS>')
I was hurt.	('<SOS>', 'म घाइते भए।', '<EOS>')
I'm chubby.	('<SOS>', 'म मोटो छु।', '<EOS>')
I'm chubby.	('<SOS>', 'म मोटी छु।', '<EOS>')
Love hurts.	('<SOS>', 'मायाले दुख दिन्छ।', '<EOS>')
Turn it up.	('<SOS>', 'अलिक ठूलो बनाउनुहोस्।', '<EOS>')
We are men.	('<SOS>', 'हामी पुरुष हौं।', '<EOS>')
Who is Tom?	('<SOS>', 'टम को हो?', '<EOS>')
Beer's good.	('<SOS>', 'बियर राम्रो हो।', '<EOS>')
Beer's good.	('<SOS>', 'बियर राम्रो छ।', '<EOS>')
Don't worry.	('<SOS>', 'चिन्ता नगर।', '<EOS>')
Don't worry.	('<SOS>', 'चिन्ता नगर!', '<EOS>')
Have a beer.	('<SOS>', 'बियर खानुहोस्।', '<EOS>')
He is alone.	('<SOS>', 'ऊ एक्लै छ ।', '<EOS>')
He is alone.	('<SOS>', 'उहाँ एक्लै हुनुहुन्छ।', '<EOS>')
He is eight.	('<SOS>', 'ऊ आठ वर्षको छ।', '<EOS>')
He is happy.	('<SOS>', 'ऊ खुसी छ।', '<EOS>')
He is happy.	('<SOS>', 'उहाँ खुसी हुनुहुन्छ।', '<EOS>')
Here we are!	('<SOS>', 'हामी यहाँ छौ!', '<EOS>')
Here we are.	('<SOS>', 'हामी यहाँ छौ।', '<EOS>')
I also went.	('<SOS>', 'म पनि गएँ।', '<EOS>')
I am a cook.	('<SOS>', 'म कुक हुँ।', '<EOS>')
I am coming.	('<SOS>', 'म आउदै छु।', '<EOS>')
I am taller.	('<SOS>', 'म अग्लो छु।', '<EOS>')
I assume so.	('<SOS>', 'म त्यसै मान्छु।', '<EOS>')
I came back.	('<SOS>', 'म फर्केर आएँ ।', '<EOS>')
I eat alone.	('<SOS>', 'म एक्लै खान्छु।', '<EOS>')
I eat beans.	('<SOS>', 'म गेडागुडी खान्छु।', '<EOS>')
I eat bread.	('<SOS>', 'म रोटी खान्छु।', '<EOS>')
I eat bread.	('<SOS>', 'म पाउरोटी खान्छु।', '<EOS>')
I eat fruit.	('<SOS>', 'म फलफूल खान्छु।', '<EOS>')
I like peas.	('<SOS>', 'मलाई मटर मन पर्छ।', '<EOS>')
I live here.	('<SOS>', 'म यहाँ बस्छु।', '<EOS>')
I read lips.	('<SOS>', 'म ओठ पढ्छु ।', '<EOS>')
I trust him.	('<SOS>', 'म उसलाई विश्वास गर्छु।', '<EOS>')
I went home.	('<SOS>', 'म घर गए।', '<EOS>')
I went, too.	('<SOS>', 'म पनि गएँ।', '<EOS>')
I will stay.	('<SOS>', 'म बस्नेछु।', '<EOS>')
