who?	<SOS> को? <EOS>
hide.	<SOS> लुकाउनुहोस्। <EOS>
hide.	<SOS> लुक। <EOS>
stay.	<SOS> बस्नुहोस्। <EOS>
hello!	<SOS> नमस्ते! <EOS>
smile.	<SOS> मुस्कान। <EOS>
attack!	<SOS> आक्रमण! <EOS>
go slow.	<SOS> बिस्तारै जाउ। <EOS>
i'm tom.	<SOS> म टम हुँ। <EOS>
find tom.	<SOS> टमलाई खोज। <EOS>
i am tom.	<SOS> म टम हुँ। <EOS>
i danced.	<SOS> मैले नाचे। <EOS>
who am i?	<SOS> म को हु? <EOS>
can i eat?	<SOS> के म खान सक्छु ? <EOS>
he is old.	<SOS> उहाँ वृद्ध हुनुहुन्छ। <EOS>
i am okay.	<SOS> म ठिक छु। <EOS>
i am sick.	<SOS> म बिरामी छु। <EOS>
i am sure.	<SOS> म पक्का छु। <EOS>
i am tall.	<SOS> म अग्लो छु। <EOS>
i am well.	<SOS> म कुशल छु। <EOS>
i'm crazy.	<SOS> म पागल छु। <EOS>
i'm crazy.	<SOS> म पागल हुँ। <EOS>
i'm sorry.	<SOS> मलाई माफ गर्नुहोस्। <EOS>
is it bad?	<SOS> यो खराब छ? <EOS>
is it bad?	<SOS> यो नराम्रो हो? <EOS>
may i eat?	<SOS> के म खान सक्छु ? <EOS>
who is he?	<SOS> ऊ को हो? <EOS>
good night.	<SOS> शुभ रात्री। <EOS>
he is lazy.	<SOS> ऊ अल्छी छ । <EOS>
he is nice.	<SOS> उहाँ राम्रो हुनुहुन्छ। <EOS>
he is nice.	<SOS> उ राम्रो छ। <EOS>
he is poor.	<SOS> ऊ गरिब छ। <EOS>
he is sick.	<SOS> उहाँ बिरामी हुनुहुन्छ। <EOS>
he is sick.	<SOS> ऊ बिरामी छ। <EOS>
how lovely!	<SOS> कति प्यारो! <EOS>
i am a boy.	<SOS> म केटा हुँ। <EOS>
i am a man.	<SOS> म एक मानिस हुँ। <EOS>
i am happy.	<SOS> म खुशी छु। <EOS>
i am human.	<SOS> म मानव हुँ। <EOS>
i am human.	<SOS> म मान्छे हुँ। <EOS>
i am short.	<SOS> म होचो छु। <EOS>
i am smart.	<SOS> म स्मार्ट छु। <EOS>
i eat fish.	<SOS> म माछा खान्छु। <EOS>
i eat here.	<SOS> म यहाँ खान्छु। <EOS>
i eat meat.	<SOS> म मासु खान्छु। <EOS>
i eat pork.	<SOS> म सुँगुरको मासु खान्छु। <EOS>
i eat pork.	<SOS> म पोर्क खान्छु। <EOS>
i eat rice.	<SOS> म भात खान्छु। <EOS>
i feel old.	<SOS> मलाई बुढो हुदै गए जस्तो लाग्छ। <EOS>
i like you.	<SOS> म तिमीलाई मन पराउँछु। <EOS>
i love you.	<SOS> म तिमीलाई माया गर्छु। <EOS>
i miss you.	<SOS> म तिमीलाई सम्झन्छु। <EOS>
i was hurt.	<SOS> म घाइते भए। <EOS>
i'm chubby.	<SOS> म मोटो छु। <EOS>
i'm chubby.	<SOS> म मोटी छु। <EOS>
love hurts.	<SOS> मायाले दुख दिन्छ। <EOS>
turn it up.	<SOS> अलिक ठूलो बनाउनुहोस्। <EOS>
we are men.	<SOS> हामी पुरुष हौं। <EOS>
who is tom?	<SOS> टम को हो? <EOS>
beer's good.	<SOS> बियर राम्रो हो। <EOS>
beer's good.	<SOS> बियर राम्रो छ। <EOS>
don't worry.	<SOS> चिन्ता नगर। <EOS>
don't worry.	<SOS> चिन्ता नगर! <EOS>
have a beer.	<SOS> बियर खानुहोस्। <EOS>
he is alone.	<SOS> ऊ एक्लै छ । <EOS>
he is alone.	<SOS> उहाँ एक्लै हुनुहुन्छ। <EOS>
he is eight.	<SOS> ऊ आठ वर्षको छ। <EOS>
he is happy.	<SOS> ऊ खुसी छ। <EOS>
he is happy.	<SOS> उहाँ खुसी हुनुहुन्छ। <EOS>
here we are!	<SOS> हामी यहाँ छौ! <EOS>
here we are.	<SOS> हामी यहाँ छौ। <EOS>
i also went.	<SOS> म पनि गएँ। <EOS>
i am a cook.	<SOS> म कुक हुँ। <EOS>
i am coming.	<SOS> म आउदै छु। <EOS>
i am taller.	<SOS> म अग्लो छु। <EOS>
i assume so.	<SOS> म त्यसै मान्छु। <EOS>
i came back.	<SOS> म फर्केर आएँ । <EOS>
i eat alone.	<SOS> म एक्लै खान्छु। <EOS>
i eat beans.	<SOS> म गेडागुडी खान्छु। <EOS>
i eat bread.	<SOS> म रोटी खान्छु। <EOS>
i eat bread.	<SOS> म पाउरोटी खान्छु। <EOS>
i eat fruit.	<SOS> म फलफूल खान्छु। <EOS>
i like peas.	<SOS> मलाई मटर मन पर्छ। <EOS>
i live here.	<SOS> म यहाँ बस्छु। <EOS>
i read lips.	<SOS> म ओठ पढ्छु । <EOS>
i trust him.	<SOS> म उसलाई विश्वास गर्छु। <EOS>
i went home.	<SOS> म घर गए। <EOS>
i went, too.	<SOS> म पनि गएँ। <EOS>
i will stay.	<SOS> म बस्नेछु। <EOS>
i'll decide.	<SOS> म निर्णय गर्छु। <EOS>
i'll decide.	<SOS> म निर्णय गर्नेछु। <EOS>
i'm starved.	<SOS> मलाई धेरै भोक लागेको छ। <EOS>
let's hurry.	<SOS> हतार गरौं। <EOS>
ok, you win.	<SOS> ठिक छ, तिमीले जित्यौ। <EOS>
say my name.	<SOS> मेरो नाम भन। <EOS>
she is dead.	<SOS> तिनी मरिसकेकी छिन्। <EOS>
she is kind.	<SOS> उनी दयालु छिन्। <EOS>
tom is here.	<SOS> टम यहाँ छ। <EOS>
we are sick.	<SOS> हामी बिरामी छौं। <EOS>
what's this?	<SOS> यो के हो? <EOS>
am i in debt?	<SOS> के म ऋणमा छु? <EOS>
did tom fall?	<SOS> के टम खसेको थियो? <EOS>
drive faster.	<SOS> छिटो चलाउनुहोस्। <EOS>
ghosts exist.	<SOS> भूतहरू छन्। <EOS>
he is asleep.	<SOS> ऊ सुतिरहेको छ। <EOS>
he is cranky.	<SOS> ऊ चकचके छ। <EOS>
he is eating.	<SOS> उ खादै छ। <EOS>
he seems ill.	<SOS> ऊ बिरामी देखिन्छ। <EOS>
i am chinese.	<SOS> म चिनियाँ हुँ। <EOS>
i am chinese.	<SOS> म चाइनिज हुँ। <EOS>
i am curious.	<SOS> म उत्सुक छु। <EOS>
